Organism,feature_number,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,Experiment,Replicate,DayNight,variable,value
Porites lobata,13051,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,1044092.0116660146
Porites lobata,13201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,1,Day,T0,6606663.335789066
Porites lobata,13201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,2,Day,T0,6606663.335789066
Porites lobata,13201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,3,Day,T0,6606663.335789066
Porites lobata,13201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,6606663.335789066
Porites lobata,13207,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,1,Day,T0,1411581.2951113284
Porites lobata,13207,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,2,Day,T0,1411581.2951113284
Porites lobata,13207,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,3,Day,T0,1411581.2951113284
Porites lobata,13207,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,1411581.2951113284
Porites lobata,13242,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,1,Day,T0,1179937.6111171888
Porites lobata,13242,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,2,Day,T0,1179937.6111171888
Porites lobata,13242,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,3,Day,T0,1179937.6111171888
Porites lobata,13242,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,1179937.6111171888
Porites lobata,14416,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,1,Day,T0,1248265.7744687353
Porites lobata,14416,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,2,Day,T0,1248265.7744687353
Porites lobata,14416,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,3,Day,T0,1248265.7744687353
Porites lobata,14416,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,4,Day,T0,1248265.7744687353
Porites lobata,15087,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,1,Day,T0,1389671.1869960995
Porites lobata,15087,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,2,Day,T0,1389671.1869960995
Porites lobata,15087,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,3,Day,T0,1389671.1869960995
Porites lobata,15087,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,1389671.1869960995
Porites lobata,15101,2938,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico,dorcierr,1,Day,T0,2517122.2133476567
Porites lobata,15101,2938,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico,dorcierr,2,Day,T0,2517122.2133476567
Porites lobata,15101,2938,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico,dorcierr,3,Day,T0,2517122.2133476567
Porites lobata,15101,2938,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico,dorcierr,4,Day,T0,2517122.2133476567
Porites lobata,15119,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1205432.9004218755
Porites lobata,15119,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1205432.9004218755
Porites lobata,15119,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1205432.9004218755
Porites lobata,15119,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1205432.9004218755
Porites lobata,15362,1063,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2540825.8314902433
Porites lobata,15362,1063,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2540825.8314902433
Porites lobata,15362,1063,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2540825.8314902433
Porites lobata,15362,1063,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2540825.8314902433
Porites lobata,15438,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,1,Day,T0,1122835.6141679701
Porites lobata,15438,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,2,Day,T0,1122835.6141679701
Porites lobata,15438,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,3,Day,T0,1122835.6141679701
Porites lobata,15438,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,4,Day,T0,1122835.6141679701
Porites lobata,15785,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,T0,17019715.37884586
Porites lobata,15785,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,T0,17019715.37884586
Porites lobata,15785,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,T0,17019715.37884586
Porites lobata,15785,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,T0,17019715.37884586
Porites lobata,15972,37,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,13690169.842683615
Porites lobata,15972,37,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,13690169.842683615
Porites lobata,15972,37,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,13690169.842683615
Porites lobata,15972,37,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,13690169.842683615
Porites lobata,15989,37,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,24899074.100982424
Porites lobata,15989,37,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,24899074.100982424
Porites lobata,15989,37,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,24899074.100982424
Porites lobata,15989,37,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,24899074.100982424
Porites lobata,16084,1063,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1367515.1016249983
Porites lobata,16084,1063,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1367515.1016249983
Porites lobata,16084,1063,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1367515.1016249983
Porites lobata,16084,1063,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1367515.1016249983
Porites lobata,16088,37,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2752087.733183589
Porites lobata,16088,37,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2752087.733183589
Porites lobata,16088,37,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2752087.733183589
Porites lobata,16088,37,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2752087.733183589
Porites lobata,16123,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,1,Day,T0,1366369.8592031132
Porites lobata,16123,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,2,Day,T0,1366369.8592031132
Porites lobata,16123,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,3,Day,T0,1366369.8592031132
Porites lobata,16123,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,4,Day,T0,1366369.8592031132
Porites lobata,16286,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,84286933.66335157
Porites lobata,16286,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,84286933.66335157
Porites lobata,16286,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,84286933.66335157
Porites lobata,16286,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,84286933.66335157
Porites lobata,17064,77,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,3719095.9044843772
Porites lobata,17064,77,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,3719095.9044843772
Porites lobata,17064,77,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,3719095.9044843772
Porites lobata,17064,77,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,3719095.9044843772
Porites lobata,17843,77,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1677484.6247382828
Porites lobata,17843,77,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1677484.6247382828
Porites lobata,17843,77,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1677484.6247382828
Porites lobata,17843,77,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1677484.6247382828
Porites lobata,18001,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,1,Day,T0,2362696.6480703033
Porites lobata,18001,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,2,Day,T0,2362696.6480703033
Porites lobata,18001,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,3,Day,T0,2362696.6480703033
Porites lobata,18001,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,dorcierr,4,Day,T0,2362696.6480703033
Porites lobata,18201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,1,Day,T0,3773630.0574336043
Porites lobata,18201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,2,Day,T0,3773630.0574336043
Porites lobata,18201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,3,Day,T0,3773630.0574336043
Porites lobata,18201,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,dorcierr,4,Day,T0,3773630.0574336043
Porites lobata,18926,582,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1801852.564234362
Porites lobata,18926,582,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1801852.564234362
Porites lobata,18926,582,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1801852.564234362
Porites lobata,18926,582,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1801852.564234362
Porites lobata,19610,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,12212720.806898382
Porites lobata,19610,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,12212720.806898382
Porites lobata,19610,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,12212720.806898382
Porites lobata,19610,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,12212720.806898382
Turf,2485,1583,Fatty acid esters,1,subclass,1,Library,dorcierr,1,Day,T0,13697192.764781132
Turf,2485,1583,Fatty acid esters,1,subclass,1,Library,dorcierr,2,Day,T0,13697192.764781132
Turf,2485,1583,Fatty acid esters,1,subclass,1,Library,dorcierr,3,Day,T0,13697192.764781132
Turf,2485,1583,Fatty acid esters,1,subclass,1,Library,dorcierr,4,Day,T0,13697192.764781132
Turf,2496,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,20964687.719972804
Turf,2496,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,20964687.719972804
Turf,2496,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,20964687.719972804
Turf,2496,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,20964687.719972804
Turf,2517,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,13705396.615109313
Turf,2517,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,13705396.615109313
Turf,2517,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,13705396.615109313
Turf,2517,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,13705396.615109313
Turf,2643,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,1,Day,T0,11989139.465187533
Turf,2643,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,2,Day,T0,11989139.465187533
Turf,2643,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,3,Day,T0,11989139.465187533
Turf,2643,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,4,Day,T0,11989139.465187533
Turf,3119,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,1,Day,T0,3416954.933832042
Turf,3119,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,2,Day,T0,3416954.933832042
Turf,3119,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,3,Day,T0,3416954.933832042
Turf,3119,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,4,Day,T0,3416954.933832042
Turf,3214,490,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,2767729.1630937587
Turf,3214,490,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,2767729.1630937587
Turf,3214,490,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,2767729.1630937587
Turf,3214,490,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,2767729.1630937587
Turf,3479,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,1,Day,T0,3258933.176052735
Turf,3479,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,2,Day,T0,3258933.176052735
Turf,3479,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,3,Day,T0,3258933.176052735
Turf,3479,1907,Benzenoids,0.6666666666666666,superclass,3,Insilico,dorcierr,4,Day,T0,3258933.176052735
Turf,3836,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,1477670.9106679596
Turf,3836,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,1477670.9106679596
Turf,3836,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,1477670.9106679596
Turf,3836,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,1477670.9106679596
Turf,3903,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,1,Day,T0,1119800.1275820292
Turf,3903,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,2,Day,T0,1119800.1275820292
Turf,3903,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,3,Day,T0,1119800.1275820292
Turf,3903,1827,Lipids and lipid-like molecules,0.75,superclass,4,Library,dorcierr,4,Day,T0,1119800.1275820292
Turf,5374,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,1,Day,T0,1359587.4546952688
Turf,5374,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,2,Day,T0,1359587.4546952688
Turf,5374,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,3,Day,T0,1359587.4546952688
Turf,5374,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,4,Day,T0,1359587.4546952688
Turf,5541,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,1,Day,T0,2488056.9151836066
Turf,5541,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,2,Day,T0,2488056.9151836066
Turf,5541,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,3,Day,T0,2488056.9151836066
Turf,5541,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,4,Day,T0,2488056.9151836066
Turf,7071,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,1,Day,T0,11593460.242765874
Turf,7071,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,2,Day,T0,11593460.242765874
Turf,7071,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,3,Day,T0,11593460.242765874
Turf,7071,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,4,Day,T0,11593460.242765874
Turf,7087,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,7566946.363984264
Turf,7087,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,7566946.363984264
Turf,7087,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,7566946.363984264
Turf,7087,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,7566946.363984264
Turf,7092,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,1,Day,T0,6376117.169046832
Turf,7092,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,2,Day,T0,6376117.169046832
Turf,7092,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,3,Day,T0,6376117.169046832
Turf,7092,918,"Amino acids, peptides, and analogues",0.85,subclass,8,Insilico,dorcierr,4,Day,T0,6376117.169046832
Turf,7094,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,1,Day,T0,8659732.265050694
Turf,7094,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,2,Day,T0,8659732.265050694
Turf,7094,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,3,Day,T0,8659732.265050694
Turf,7094,887,"Amino acids, peptides, and analogues",1.1,subclass,5,Insilico,dorcierr,4,Day,T0,8659732.265050694
Turf,11430,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,1,Day,T0,1100617.0219257837
Turf,11430,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,2,Day,T0,1100617.0219257837
Turf,11430,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,3,Day,T0,1100617.0219257837
Turf,11430,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,dorcierr,4,Day,T0,1100617.0219257837
Turf,12177,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,1,Day,T0,1058937.6121542952
Turf,12177,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,2,Day,T0,1058937.6121542952
Turf,12177,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,3,Day,T0,1058937.6121542952
Turf,12177,336,"Amino acids, peptides, and analogues",1,subclass,1,Library,dorcierr,4,Day,T0,1058937.6121542952
Turf,14888,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,1,Day,T0,13910478.8214062
Turf,14888,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,2,Day,T0,13910478.8214062
Turf,14888,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,3,Day,T0,13910478.8214062
Turf,14888,1730,Lipids and lipid-like molecules,0.7,superclass,5,Insilico,dorcierr,4,Day,T0,13910478.8214062
Turf,20313,37,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,0
Turf,20313,37,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,0
Turf,20313,37,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,0
Turf,20313,37,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,0
coral,1118,343,Glycerophosphoethanolamines,1,subclass,3,Library,NA,NA,NA,T0,NA
coral,2086,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,2529,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,2658,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,2942,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,2978,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,3078,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,3373,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,3374,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,3487,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,3584,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,3635,1306,Lipids and lipid-like molecules,0.7428571428571429,superclass,14,Insilico,NA,NA,NA,T0,NA
coral,3860,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,3962,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,4007,1306,Lipids and lipid-like molecules,0.7428571428571429,superclass,14,Insilico,NA,NA,NA,T0,NA
coral,4136,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,4534,5520,"Amino acids, peptides, and analogues",0.7666666666666666,subclass,3,Insilico,NA,NA,NA,T0,NA
coral,7394,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,7580,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,7839,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,8394,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,8411,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,9481,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,NA,NA,NA,T0,NA
coral,9494,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,9557,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,9953,2035,Fatty Acyls,1,class,10,Insilico,NA,NA,NA,T0,NA
coral,10312,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,10475,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,NA,NA,NA,T0,NA
coral,10769,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,11148,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,11197,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,11248,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,11320,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,NA,NA,NA,T0,NA
coral,11329,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,11340,2035,Fatty Acyls,1,class,10,Insilico,NA,NA,NA,T0,NA
coral,11403,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,NA,NA,NA,T0,NA
coral,11535,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,11599,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,11716,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,NA,NA,NA,T0,NA
coral,11937,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,12519,980,Organic acids and derivatives,0.5416666666666666,superclass,24,Insilico,NA,NA,NA,T0,NA
coral,13043,87,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,13243,695,"Amino acids, peptides, and analogues",1.1,subclass,3,Insilico,NA,NA,NA,T0,NA
coral,14057,2938,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico,NA,NA,NA,T0,NA
coral,14220,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,14222,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,14409,6163,Fatty Acyls,1.1,class,2,Insilico,NA,NA,NA,T0,NA
coral,15198,141,"Amino acids, peptides, and analogues",1,subclass,3,Library,NA,NA,NA,T0,NA
coral,15466,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,NA,NA,NA,T0,NA
coral,15539,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,NA,NA,NA,T0,NA
coral,15740,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,15993,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,16278,343,Glycerophosphoethanolamines,1,subclass,3,Library,NA,NA,NA,T0,NA
coral,16439,131,"Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico,NA,NA,NA,T0,NA
coral,17083,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,17292,5082,"Amino acids, peptides, and analogues",1,subclass,1,Library,NA,NA,NA,T0,NA
coral,17318,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,18312,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
coral,18505,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,20306,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
coral,20320,17,Fatty amides,1,subclass,1,Library,NA,NA,NA,T0,NA
coral,20722,21,Fatty acid esters,1,subclass,21,Library,NA,NA,NA,T0,NA
Primary producers,4315,3585,Organic nitrogen compounds,0.6714285714285714,superclass,7,Insilico,NA,NA,NA,T0,NA
Primary producers,5055,1370,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,5233,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,5411,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,6462,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,7279,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,7292,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,7505,80,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,12738,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
Primary producers,17373,37,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
fleshy algae,3493,490,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
fleshy algae,5696,1332,Organic oxygen compounds,0.6,superclass,4,Insilico,NA,NA,NA,T0,NA
fleshy algae,7115,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
fleshy algae,7139,-1,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
fleshy algae,7371,77,NA,NA,NA,NA,NA,NA,NA,NA,T0,NA
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,TF,2378562.023296817
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,TF,2660653.3795937197
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,TF,2851613.407906236
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,TF,2964623.5917343767
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,1,Day,TF,5236970.662265596
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,2,Day,TF,5118729.577101547
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,3,Day,TF,7386777.413390609
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,4,Day,TF,6584904.634164045
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,TF,3574471.310765638
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,TF,58537298.00218753
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,TF,2308332.0747577846
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,TF,1832316.465828123
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,1,Day,TF,239846.00635937374
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,2,Day,TF,323516.01182812726
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,3,Day,TF,1480719.0198203085
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,4,Day,TF,2126348.547789103
CCA,20210,582,NA,NA,NA,NA,NA,dorcierr,1,Day,TF,1032164.9355820279
